Feature,Importance
ROI48_ROI61,0.0002519748434288239
ROI22_ROI177,0.0002509969691782591
ROI138_ROI144,0.00025010808581433385
ROI42_ROI81,0.0002500500993288371
ROI70_ROI146,0.0002499054924459108
ROI31_ROI195,0.0002496491763606044
ROI54_ROI70,0.00024923746899235165
ROI75_ROI144,0.0002489051297631951
ROI97_ROI177,0.0002485832879918432
ROI71_ROI138,0.00024792706160549956
ROI51_ROI108,0.00024741438524965146
ROI74_ROI175,0.0002468270093640952
ROI10_ROI104,0.00024660010064436933
ROI119_ROI153,0.00024571123012843185
ROI15_ROI38,0.0002449042752606488
ROI44_ROI174,0.00024439617997704994
ROI71_ROI81,0.00024399749627754787
ROI16_ROI39,0.00024395934017469915
ROI154_ROI190,0.00024215364308207758
ROI24_ROI108,0.0002415773215714669
ROI61_ROI108,0.00024120672582520394
ROI86_ROI190,0.00024105923353269878
ROI138_ROI148,0.00024104914613754124
ROI156_ROI177,0.0002404951560892378
ROI160_ROI172,0.00024016328439310097
ROI38_ROI55,0.00023887788181906476
ROI155_ROI163,0.0002384779791019636
ROI108_ROI154,0.00023732497726505072
ROI178_ROI196,0.0002365660500097095
ROI85_ROI93,0.0002363620506976355
ROI119_ROI199,0.00023601919886567747
ROI144_ROI148,0.00023574598311041885
ROI65_ROI71,0.00023478797853013878
ROI147_ROI183,0.00023443035124507964
ROI60_ROI153,0.00023263530428290925
ROI76_ROI101,0.00023171786185068548
ROI16_ROI98,0.00023150373292214532
ROI138_ROI173,0.0002309882470274429
ROI75_ROI197,0.00023081570583985295
ROI1_ROI17,0.00023009891151244956
ROI99_ROI141,0.0002296211872334023
ROI60_ROI97,0.0002284060122842597
ROI45_ROI103,0.0002283214496203712
ROI72_ROI112,0.00022682077503805806
ROI47_ROI106,0.00022591583343641941
ROI80_ROI162,0.0002258151658266869
ROI55_ROI77,0.00022577481701045683
ROI43_ROI123,0.00022567426025256438
ROI0_ROI194,0.00022562414558893867
ROI75_ROI138,0.0002255417189700806
ROI67_ROI93,0.00022535240452067928
ROI101_ROI151,0.00022515582524289336
ROI64_ROI77,0.00022505204047083783
ROI8_ROI27,0.00022469010250072323
ROI59_ROI147,0.0002244058822480653
ROI147_ROI199,0.00022365037040317437
ROI50_ROI71,0.00022314263144689565
ROI36_ROI70,0.0002227960117548736
ROI67_ROI120,0.0002226518966036721
ROI21_ROI51,0.0002223410695683493
ROI116_ROI147,0.00022138199582059099
ROI100_ROI123,0.0002210779799977105
ROI4_ROI57,0.00022006809557731383
ROI103_ROI199,0.0002199903966471723
ROI21_ROI45,0.00021978728124786944
ROI45_ROI147,0.00021975591480379172
ROI108_ROI178,0.00021907519457731235
ROI71_ROI104,0.00021870760198367355
ROI28_ROI86,0.00021842742327213795
ROI45_ROI138,0.00021807274117986418
ROI34_ROI160,0.00021772612101172265
ROI148_ROI182,0.00021749589646571522
